slug,domain,primary_segment,primary_pocket,primary_team,sha256,source_path
accounting-internal-controls-analyst,accounting,run,executiveos,integration,24ee879fde28e956215e158a53e2ba4b757ff52a2aa5df1b17ae975c5719fc15,.bob/skills/accounting-internal-controls-analyst/SKILL.md
accounting-management-reporting-specialist,accounting,run,executiveos,integration,ff5fda81734c1b4b4b42b4ba1b29c3e91a2b224cd47267155e10d75dfb96be35,.bob/skills/accounting-management-reporting-specialist/SKILL.md
accounting-month-end-close-specialist,accounting,run,executiveos,integration,ddcc5214973fbfcc5d2c054eff7eb7dc95108d3783143e4d94dce032bc359a5f,.bob/skills/accounting-month-end-close-specialist/SKILL.md
accounting-orchestrator,accounting,run,executiveos,integration,6ab24cbb0ccc4fc88105318b52be3c672310e24e867d50e4db7a883c9e753a9e,.bob/skills/accounting-orchestrator/SKILL.md
accounting-policy-researcher,accounting,run,executiveos,assurance,38912309e606d213d131d61892cb29dd641754f50cb95172e7799f85e9d9411d,.bob/skills/accounting-policy-researcher/SKILL.md
accounting-quality-reviewer,accounting,run,executiveos,assurance,ee9bc083d0d3d6daaafee4799ad74fc0411d598ff74eef0cf823ca64671a49a3,.bob/skills/accounting-quality-reviewer/SKILL.md
accounting-reconciliation-specialist,accounting,run,executiveos,integration,431ce9bd1cc8363d650a339cfdc75dc182965cc42d8ba7d947b00b16e5c99932,.bob/skills/accounting-reconciliation-specialist/SKILL.md
accounting-revenue-recognition-analyst,accounting,run,executiveos,integration,735f07e36211fc0e79dd8b39c8d68275c184dd0414365504b56e404990e2352a,.bob/skills/accounting-revenue-recognition-analyst/SKILL.md
act_sequence_design,shared-execution,create,mediaos,integration,fe3ead341875449be20b687e673993d4a0734804a61df457b342e6cdba73f653,.bob/skills/act_sequence_design/SKILL.md
action_paragraph_rhythm,shared-execution,create,mediaos,integration,3e195dc90888b1602a8de1e1adfa4d49a95495505e64983cfad941c8742c6c92,.bob/skills/action_paragraph_rhythm/SKILL.md
action_sequence_direction,shared-execution,create,mediaos,integration,f743ef72d416da674ea692bffa17debb2aca98e4172f0baa81299e8cd34ed337,.bob/skills/action_sequence_direction/SKILL.md
action_state_tracking,shared-execution,create,mediaos,integration,bb456132aca602dddbed444baeb3bf843d77560c15fdee2a41a6479980d8199b,.bob/skills/action_state_tracking/SKILL.md
actor_speakability,shared-execution,create,mediaos,integration,d301fb9967dec5a9779a1f226b6de3e305b7a7deabdfbc9e55a3e74d5d40e5d3,.bob/skills/actor_speakability/SKILL.md
adaptive-content-delivery,shared-execution,learn,learningos,t02,58971cda9f5f56a31c1c5f1e75b7ecb775b0749caa16a149d33c510af722bba7,.bob/skills/adaptive-content-delivery/SKILL.md
adaptive-pathway-builder,shared-execution,learn,learningos,t03,e5ab82c10cb7fca90fe381bef6259c45208a2c47323a1abf264ead5fefc4ba9c,.bob/skills/adaptive-pathway-builder/SKILL.md
adr_strategy,shared-execution,make,innovationos,integration,2b257942d7cbb62d7f4bab83c5dd8853a16f86711c60a21074d02b6503eabdeb,.bob/skills/adr_strategy/SKILL.md
advanced-web-developer,shared-execution,make,buildos,assurance,7723c48bca0fbbb2a83ca136e0cd7d2c9bac6f3025ee7bcaddf3500e28c1d948,.bob/skills/advanced-web-developer/SKILL.md
agency-account-director,agency,create,agencyos,integration,fb32ada959eca5e0dc6f2542a1556b7ec1494dbdc4e920883c8d58cf2b07061b,.bob/skills/agency-account-director/SKILL.md
agency-account-manager,agency,create,agencyos,integration,0eae80cae06eb155da124955bb7846946e02ad53ab0afb0475351d03c1b48386,.bob/skills/agency-account-manager/SKILL.md
agency-client-communication-specialist,agency,create,agencyos,t06,e429b939817bb385986d3867111904434119232ec6ea3d593c4bc5c2efc9825b,.bob/skills/agency-client-communication-specialist/SKILL.md
agency-client-services-director,agency,create,agencyos,t06,1a443777e3179295fb7cc0f5a8532ab2415669abece5bf137303fe40b5333fda,.bob/skills/agency-client-services-director/SKILL.md
agency-consultant,agency,create,agencyos,integration,020373d8590866dc5b202ec3b037895b2b1f193bb53dfe4705b30ac116d7ee24,.bob/skills/agency-consultant/SKILL.md
agency-consulting-engagement-manager,agency,create,agencyos,integration,53f778dba355d0866a1d8df34b62cdee40ad69e04bf449cf89a809a67d4cc5b6,.bob/skills/agency-consulting-engagement-manager/SKILL.md
agency-deliverable-quality-reviewer,agency,create,agencyos,assurance,9747b8a9b4aa79c78f556ecd07eea855590f14070992c76a8d42ca11dd0ddc37,.bob/skills/agency-deliverable-quality-reviewer/SKILL.md
agency-discovery-consultant,agency,create,agencyos,t02,4e72b4688ca484ca2d1f3ff5d45c8dc4f678fffb78b23911a1d763659aee70ae,.bob/skills/agency-discovery-consultant/SKILL.md
agency-engagement-manager,agency,create,agencyos,integration,36db57f25425e88ad65134b91d803bf723b34bc2a21703619ba312e850a486a6,.bob/skills/agency-engagement-manager/SKILL.md
agency-implementation-consultant,agency,create,agencyos,integration,1968a416e5602578e92dd81378d9d96d1065b1451f488e942bb406774efdd860,.bob/skills/agency-implementation-consultant/SKILL.md
agency-management-consultant,agency,create,agencyos,integration,a529c1be0a8500a7227c7383adebf9efd676636dfa73d250650ea36da3b35e7f,.bob/skills/agency-management-consultant/SKILL.md
agency-operations-change-impact-assessment,agency,create,agencyos,assurance,32dc6331c79af150ea6de4043d6d4ccfd68e81da85d80414a63960c62b838208,.bob/skills/agency-operations-change-impact-assessment/SKILL.md
agency-operations-conflict-of-interest-screening,agency,create,agencyos,assurance,ae0b78634c3658f5dafae3a9f7ab05c7c77e806e737b9936ab58f8d64ee24742,.bob/skills/agency-operations-conflict-of-interest-screening/SKILL.md
agency-operations-contract-handoff,agency,create,agencyos,t03,97e55ae7cb48d4e9c4154a1cca50433f9a73fc44889e5cb9efb81f6f097c13c8,.bob/skills/agency-operations-contract-handoff/SKILL.md
agency-operations-delivery-status-control,agency,create,agencyos,integration,09fd4ed0ec49a3016426b09bd4526eb02f591f97fea0b0411e077b1bf2c6a2f6,.bob/skills/agency-operations-delivery-status-control/SKILL.md
agency-operations-engagement-closeout,agency,create,agencyos,assurance,b8fd8d113f097e8847118c2d82800219328f91b59409a9da9a92c86b36da9632,.bob/skills/agency-operations-engagement-closeout/SKILL.md
agency-operations-engagement-qualification,agency,create,agencyos,assurance,5259fdb559def6ea651e8883653709fee2d806fe1d0e6bb2ed70114c53310df8,.bob/skills/agency-operations-engagement-qualification/SKILL.md
agency-operations-human-approval-gating,agency,create,agencyos,t03,789ce4352ed2b5714b8faf5bf6cd452baa70c9d65ad576188627516a2f4ebe71,.bob/skills/agency-operations-human-approval-gating/SKILL.md
agency-operations-invoice-readiness-review,agency,create,agencyos,assurance,c8d42557b306a183dfb2393b0dc39c3a8413aed2414a9f4dc75e9721044132d5,.bob/skills/agency-operations-invoice-readiness-review/SKILL.md
agency-operations-orchestrator,agency,create,agencyos,assurance,fa7f482bc7751fe90522bc14ee48a942a9b874a414ffe1a1692792609abdf50f,.bob/skills/agency-operations-orchestrator/SKILL.md
agency-operations-privacy-data-handling,agency,create,agencyos,integration,ab941bda5636513f1e76d369a41eaee72531b99c21e9407513c3d07a5a87b90b,.bob/skills/agency-operations-privacy-data-handling/SKILL.md
agency-operations-quality-review-orchestration,agency,create,agencyos,assurance,ab9f4f057d5c4dd79718975ce5b6d0ab65840359b6b426fc01a9a675c8249a57,.bob/skills/agency-operations-quality-review-orchestration/SKILL.md
agency-operations-records-retention-management,agency,create,agencyos,integration,1453d72bf20e216cdc3817c248f81e1dd17ee185285fc38be41612517b35b7f2,.bob/skills/agency-operations-records-retention-management/SKILL.md
agency-operations-resource-capacity-planning,agency,create,agencyos,integration,61ae4c195d8ab24861f89186213cd3174933e7443b7a26cf2676e892c8a9959b,.bob/skills/agency-operations-resource-capacity-planning/SKILL.md
agency-operations-scope-baselining,agency,create,agencyos,t03,1e14e5aef9d3ddc188857c953a947fc42c1ac70a544810672b577518b9b6d384,.bob/skills/agency-operations-scope-baselining/SKILL.md
agency-operations-stakeholder-communications-governance,agency,create,agencyos,assurance,f8d17b9ddf6bb8d5f0d217420e78985d1bc27d2e28989afa7c828014bedd9376,.bob/skills/agency-operations-stakeholder-communications-governance/SKILL.md
agency-operations-time-cost-margin-control,agency,create,agencyos,t07,772b265de41c871518e8a146107c86a189d419188543018e3624ef56abd3e551,.bob/skills/agency-operations-time-cost-margin-control/SKILL.md
agency-orchestrator,agency,create,agencyos,integration,f0afa831fe5315f6e6283a8ea434b98dcacd3f52a9b9cba3cfae57c36be48838,.bob/skills/agency-orchestrator/SKILL.md
agency-principal-advisor,agency,create,agencyos,integration,aa6518a3270fd49e7aa0e6843349200e5cc05d3e5f20a65a0b7ea96d2c201270,.bob/skills/agency-principal-advisor/SKILL.md
agency-project-staffing-specialist,agency,create,agencyos,t04,ccbffb1e148318bd3cf75f38b23969455e8b896fd8f54101ff6454f6005d1b50,.bob/skills/agency-project-staffing-specialist/SKILL.md
agency-proposal-consultant,agency,create,agencyos,integration,324f99bf6a1debee74ed922e5c41038c5459849859948fdbf1886a446e8cdd71,.bob/skills/agency-proposal-consultant/SKILL.md
agency-scope-manager,agency,create,agencyos,t03,243532096cfa2edcdb26f49549654fd71322dc3ae8d365778f552c3068885bcd,.bob/skills/agency-scope-manager/SKILL.md
agency-solution-consultant,agency,create,agencyos,integration,3af9b7006b2a2cc5e0d95e9ea81d8ea6046a42787862edfc39e8e63987be7b28,.bob/skills/agency-solution-consultant/SKILL.md
agency-statement-of-work-specialist,agency,create,agencyos,integration,8ca1f04aa4930b67fcdb51b18fd4f4a7203fbfc1d9648004ebc434fa92a2ecb0,.bob/skills/agency-statement-of-work-specialist/SKILL.md
agency-strategy-consultant,agency,create,agencyos,integration,7de6caf6610f49ae87917132e542ea0f33ca6e445e7e86b977a938600a52cdae,.bob/skills/agency-strategy-consultant/SKILL.md
agency-technology-consultant,agency,create,agencyos,integration,899f87c5266277243f14c439e930b5971406cfc8797c10c8adfd634f82a73248,.bob/skills/agency-technology-consultant/SKILL.md
agency-utilization-analyst,agency,create,agencyos,integration,b10a619aae8ac619fcb55c92754bb3e4e64499ab70d40148cc170b23842b0b8c,.bob/skills/agency-utilization-analyst/SKILL.md
agent-lifecycle-manager,shared-execution,learn,workforceos,t08,5239ca3ad9e939e920d4fa38c15af7c6f9b5d12d7c566932700da5b38d148292,.bob/skills/agent-lifecycle-manager/SKILL.md
agent-operations-and-learning,shared-execution,create,eventos,t06,352f016c7def1c5499744f7f1cae9e64d11c29c8411ac79ac8aff235ed2c0a00,.bob/skills/agent-operations-and-learning/SKILL.md
agentic-sdlc-lab-guide-builder,shared-execution,make,consultingos,integration,82bd473ed0855c2c49f6a878e2402ab72e48457232fbb637950a19c55a1c7940,.bob/skills/agentic-sdlc-lab-guide-builder/SKILL.md
agentic-systems-architect,shared-execution,run,talentos,assurance,5aa9da3fc07eada7962298482c89a8fb88883517923311b6b9115660f551d82a,.bob/skills/agentic-systems-architect/SKILL.md
ai-automation-lbo,ai-engineering,make,buildos,integration,12ead85e58b1a5a339ab7e791743a872c0a8dc9276d0ccfa5809e7992c29f47e,.bob/skills/ai-automation-lbo/SKILL.md
ai-engineering-agent-architect,ai-engineering,make,buildos,t03,7e111bf0750dd2cb0348b7e303e43f8526cd97686a6ffd7a7e0587ecff4f2a4e,.bob/skills/ai-engineering-agent-architect/SKILL.md
ai-engineering-agent-cost-optimization-specialist,ai-engineering,make,buildos,t03,888a4e205eec9711db3474ddb8432ba38c696b4d6197ea8d9895955efeff7dd4,.bob/skills/ai-engineering-agent-cost-optimization-specialist/SKILL.md
ai-engineering-agent-evaluation-specialist,ai-engineering,make,buildos,assurance,fe72741adf9e7e89682354c686f94ad9e070aa2c056924071ef0239f5126a6c4,.bob/skills/ai-engineering-agent-evaluation-specialist/SKILL.md
ai-engineering-agent-latency-optimization-specialist,ai-engineering,make,buildos,t03,c0e009ddcd05193dc0c3d0843747daf55a8cd80699485875e2d340d07e65fa65,.bob/skills/ai-engineering-agent-latency-optimization-specialist/SKILL.md
ai-engineering-agent-observability-engineer,ai-engineering,make,buildos,t03,6355e090ad4b11a8fe3a83da632128e6a3daca1cff8efa0f7bfe44778fb09de4,.bob/skills/ai-engineering-agent-observability-engineer/SKILL.md
ai-engineering-agent-runtime-engineer,ai-engineering,make,buildos,t03,ccd31684d9691873f89b5786f310006ea03b5e553762aeb88cf177181a8dfc70,.bob/skills/ai-engineering-agent-runtime-engineer/SKILL.md
ai-engineering-agent-workflow-designer,ai-engineering,make,buildos,integration,01763b0d091e4b4dfbbadcc377f22514a6f061949e58dc7d00e916980667949c,.bob/skills/ai-engineering-agent-workflow-designer/SKILL.md
ai-engineering-ai-architect,ai-engineering,make,buildos,t03,5b6854e3d70f081e741356f914223d1622854d65b230905a057d74f3380b187d,.bob/skills/ai-engineering-ai-architect/SKILL.md
ai-engineering-ai-governance-engineer,ai-engineering,make,buildos,t03,88bc11bea3bf25ade06e70316ab35db62512b88105af7c67428fa3dc64d585f4,.bob/skills/ai-engineering-ai-governance-engineer/SKILL.md
ai-engineering-ai-red-team-reviewer,ai-engineering,make,buildos,t03,15072ba7f195529661c5eb3a177fda2de6da012b37ce0d9d64fc318416412a84,.bob/skills/ai-engineering-ai-red-team-reviewer/SKILL.md
ai-engineering-ai-reliability-engineer,ai-engineering,make,buildos,t03,733b0a5d73c0153686a70ec46f4e66caca52b6ae4d24d30b4326a13315e64b88,.bob/skills/ai-engineering-ai-reliability-engineer/SKILL.md
ai-engineering-ai-safety-engineer,ai-engineering,make,buildos,t03,c909a1ab8e3e83af81cee07c3159090156945594cb5640c143150809183ed12e,.bob/skills/ai-engineering-ai-safety-engineer/SKILL.md
ai-engineering-computer-use-agent-engineer,ai-engineering,make,buildos,t03,5a03a40083f4f447e3286a9b2cb485f227d362b3ba7a590aa2c8102ddc46e7a0,.bob/skills/ai-engineering-computer-use-agent-engineer/SKILL.md
ai-engineering-context-engineer,ai-engineering,make,buildos,t03,7fed6777e2e2d7d724b59e74b1710d6ba652c237608fce5a6f45782e3fe4a108,.bob/skills/ai-engineering-context-engineer/SKILL.md
ai-engineering-hallucination-analyst,ai-engineering,make,buildos,t03,80298152125336eb1421c61d649dd66aec571018b686926695b6b51de2e3afc5,.bob/skills/ai-engineering-hallucination-analyst/SKILL.md
ai-engineering-knowledge-graph-engineer,ai-engineering,make,buildos,t03,fda9eac12f1f9dad2b66e63aa153827b08dae46429b203ed676fdb07c053a73f,.bob/skills/ai-engineering-knowledge-graph-engineer/SKILL.md
ai-engineering-llm-application-architect,ai-engineering,make,buildos,t03,dd936405aff38b345733e80a9912cad8567406e966a7ee11955bef2937aab210,.bob/skills/ai-engineering-llm-application-architect/SKILL.md
ai-engineering-llm-evaluation-specialist,ai-engineering,make,buildos,assurance,50abb45c4a84aedf88c7b7f7f032d98f698ad416f8c32628c60d5e98fd5934fb,.bob/skills/ai-engineering-llm-evaluation-specialist/SKILL.md
ai-engineering-mcp-architect,ai-engineering,make,buildos,t03,66afca3e023a9f6d4ccda50a1d676b316d7f39da5a4779a3a55be05e6db24d61,.bob/skills/ai-engineering-mcp-architect/SKILL.md
ai-engineering-memory-systems-engineer,ai-engineering,make,buildos,t03,24cf8e008451c4e5fc8a507df8c5ca957e3134694b2e6bda3b514c861c701e35,.bob/skills/ai-engineering-memory-systems-engineer/SKILL.md
ai-engineering-model-evaluation-engineer,ai-engineering,make,buildos,assurance,bd9e9f9ed3fefdcc0281c917a1977990e26a2ccf01f497eff888c655129a247c,.bob/skills/ai-engineering-model-evaluation-engineer/SKILL.md
ai-engineering-model-selection-analyst,ai-engineering,make,buildos,t03,6c0996bced731d96065de782d4845616c3dff12e69be99125db6073a08ffc310,.bob/skills/ai-engineering-model-selection-analyst/SKILL.md
ai-engineering-multi-agent-systems-architect,ai-engineering,make,buildos,t03,3366216883280f39f24dd8658e35c211ff3bfc24cc5793e1b4d4485768d8384b,.bob/skills/ai-engineering-multi-agent-systems-architect/SKILL.md
ai-engineering-orchestrator,ai-engineering,make,buildos,t03,6562f8d26c2060bb7e6db6c9283ae2c714ea64e5a9e43b40b40dac8b0ed7eba9,.bob/skills/ai-engineering-orchestrator/SKILL.md
ai-engineering-prompt-engineer,ai-engineering,make,buildos,t03,9a4c1408d1cefaa3403ad207b136f819f6f3d424bbaead44d4d8263bdcb47111,.bob/skills/ai-engineering-prompt-engineer/SKILL.md
ai-engineering-rag-engineer,ai-engineering,make,buildos,t03,222dfecdf35ffabb1a7e31b0f853aa54ff13936fd6d7a9f7f7d81c5168a413dc,.bob/skills/ai-engineering-rag-engineer/SKILL.md
ai-engineering-retrieval-architect,ai-engineering,make,buildos,t03,491d4e06555d1d159cef2b6dbe204d9ece515b3a631dc11e167d36af1a6b957e,.bob/skills/ai-engineering-retrieval-architect/SKILL.md
ai-engineering-tool-use-architect,ai-engineering,make,buildos,t03,d74619179b1899a38a55a8cb3570ba3407506dfcffd860949b8a66a7bcba38c3,.bob/skills/ai-engineering-tool-use-architect/SKILL.md
ai-media-orchestrator,ai-engineering,create,studioos,t03,69765c4c56ce02175b89ef536d97fefe853b68a271f157c92f921135e325b5f9,.bob/skills/ai-media-orchestrator/SKILL.md
ambience_design,shared-execution,create,mediaos,integration,2a1f5b43ba21edc92a91bdb58be81d306dbf45877f1d1fb0d01686456b60db59,.bob/skills/ambience_design/SKILL.md
amir-mushich-prompt-writer,shared-execution,create,brandos,t01,91cad68f3741c1be89aadd9e033d8b045aa792d6eb46cf9379eb02318c3138f6,.bob/skills/amir-mushich-prompt-writer/SKILL.md
amir-mushich-wrong-venue-sports,shared-execution,create,eventos,t02,36e825da9c956d6211f2ede473cbc27ccb6d3911262946e47a1189b2d2b19f15,.bob/skills/amir-mushich-wrong-venue-sports/SKILL.md
animated-series-producer,shared-execution,create,studioos,integration,b4772a9e040702a619fd62f52086bf143f16950112d3f051814e2f53cab31c50,.bob/skills/animated-series-producer/SKILL.md
animatic_timing,shared-execution,create,mediaos,integration,4f71f7eee7bb3fd1652fe2a99567b9da88bba29706adbb69783afc63e8e19f06,.bob/skills/animatic_timing/SKILL.md
anime-series-production,shared-execution,create,studioos,t01,05c761bf12a53f0586fb8419ed60721fd20d089a550a0ff1832bee0ee8937e67,.bob/skills/anime-series-production/SKILL.md
archive-reproduction,shared-execution,sell,partnershipos,t07,115e2b863ab6aa4a26f5309ef4e9e77902776d09900c6ef2d914a837ae486d64,.bob/skills/archive-reproduction/SKILL.md
archive_packaging,shared-execution,create,mediaos,integration,c8e4262df1707325f54094b9062d45c57fe19a5c8542dde85970424a254f0f23,.bob/skills/archive_packaging/SKILL.md
artifact_cleanup,shared-execution,create,mediaos,integration,af1a1e4afeedd8cb4c4d6917703f560e1a568960dbc48f461d9e191b0e13d28b,.bob/skills/artifact_cleanup/SKILL.md
assembly_edit,shared-execution,create,mediaos,integration,bdb25d24354eac18d4962a2996c3532bbb3944897b27691567bef3eba8e76b92,.bob/skills/assembly_edit/SKILL.md
assessment-builder,shared-execution,learn,educationos,t02,2869f33d018c7af0becb74ad5d2c3a56bc65a7aa4c07bb5c55ddf0472bf13433,.bob/skills/assessment-builder/SKILL.md
assessment-checkpoint,shared-execution,learn,universityos,t03,70410d91b6fbcbb14d2628f083961f6f6f0f834af0e29006eff83c99c4fe2852,.bob/skills/assessment-checkpoint/SKILL.md
asset_registration,shared-execution,create,mediaos,integration,96c364e15d6b09e67971676471e503492e9569b73fb9315d6cab14021af7fb91,.bob/skills/asset_registration/SKILL.md
audience_promise_mapping,shared-execution,create,mediaos,integration,e22c41e4f5c7022cbca4388a10b51d7c4f9e08935f535a40c0c74510229c1845,.bob/skills/audience_promise_mapping/SKILL.md
audio_qc,shared-execution,create,mediaos,integration,750cd85e04f0b19190a732937dc7824d0fa1427ec064cac249ef923fd58e327f,.bob/skills/audio_qc/SKILL.md
automation-and-scheduling,automation,run,enterpriseos,integration,68c35a1d934fb498cd33b6562557f9b68ca3169e0c9ccb9a803bba6b85e1f878,.bob/skills/automation-and-scheduling/SKILL.md
automation-api-automation-specialist,automation,make,buildos,integration,830c4b6a653049e148dc7c18c9d71562914991e6f9396c6bc62117be441f6a8e,.bob/skills/automation-api-automation-specialist/SKILL.md
automation-assess-automation-opportunity,automation,run,enterpriseos,assurance,13c2b62f1c4e33475a90daa1a519be888aba2380809e994924c3175589cc63c5,.bob/skills/automation-assess-automation-opportunity/SKILL.md
automation-assure-business-continuity,automation,run,enterpriseos,assurance,96857b4b5f3e335e0c2e4b525eb498aa476060f77d2b120cfef22736ca864884,.bob/skills/automation-assure-business-continuity/SKILL.md
automation-baseline-process-performance,automation,run,enterpriseos,assurance,27eb037915e81f0800466cd55407b149314b179811af3db78081712d0c7bd4e5,.bob/skills/automation-baseline-process-performance/SKILL.md
automation-business-process-automation-specialist,automation,run,enterpriseos,integration,b05e7a8d3e7e01ed50c1d593958c87fc56ccec8d48756a601daa5abb38bb6e36,.bob/skills/automation-business-process-automation-specialist/SKILL.md
automation-design-controls-and-approvals,automation,run,enterpriseos,assurance,e346e29d0b40702cb882b4b73d2c109955316b2d8a380eede672205b25a3efc7,.bob/skills/automation-design-controls-and-approvals/SKILL.md
automation-design-integration-orchestration,automation,run,enterpriseos,integration,240182ecc314b18f4ce2d3b148a98576795798810727f4e993be25d9e06e7d58,.bob/skills/automation-design-integration-orchestration/SKILL.md
automation-discover-process,automation,run,enterpriseos,assurance,fd1e04d02671f033cb2523f00e3d7228f3f8dcb0af30346a54440170fda4c601,.bob/skills/automation-discover-process/SKILL.md
automation-event-driven-automation-specialist,automation,run,enterpriseos,integration,a2b9c43a8a9b25d40c10feefc0dcc08a65164e4bfef58043f39bee1f407c024b,.bob/skills/automation-event-driven-automation-specialist/SKILL.md
automation-govern-access-and-data,automation,run,enterpriseos,assurance,ab5fcfbbe1a772fe2dda32f2cc219c532428e054b1af4f103e01f33a8ac99d23,.bob/skills/automation-govern-access-and-data/SKILL.md
automation-human-in-the-loop-designer,automation,run,enterpriseos,integration,cdaebccb8a47ac2bc1744aefdc7fb57ffbebfbe9e32fd8607e2a61d6253a28b8,.bob/skills/automation-human-in-the-loop-designer/SKILL.md
automation-improve-process-performance,automation,run,enterpriseos,t09,9a1090feb1031cef67ab451c662ae05a46203cb6db4b6e5b888f98edbdc24608,.bob/skills/automation-improve-process-performance/SKILL.md
automation-integration-mapping-specialist,automation,run,enterpriseos,integration,df5c0802514e63e7aafe0b5b965837e381f1cb508211de915f705ee217190139,.bob/skills/automation-integration-mapping-specialist/SKILL.md
automation-manage-automation-incidents,automation,run,enterpriseos,assurance,0ce6357f46b70b14b09da6c9cd7d29b3eada3d9c021f15b610235ac7ee65b75a,.bob/skills/automation-manage-automation-incidents/SKILL.md
automation-manage-release-and-change,automation,run,enterpriseos,integration,0c2691dfcca88bbfb3ae8471f8e56f5dfe1bc8860c3ec20db6d54884acab9b6c,.bob/skills/automation-manage-release-and-change/SKILL.md
automation-measure-process-conformance,automation,run,enterpriseos,assurance,cdcbfbc0a332635e0804a58c66528db90660b73d376b72b9d1fbd2f8d86fe560,.bob/skills/automation-measure-process-conformance/SKILL.md
automation-model-business-process,automation,run,enterpriseos,integration,c944a72b00e6dcdc068ee65b17709fa8a90ff6501e9ad8bdab1cb0a6ea2ca009,.bob/skills/automation-model-business-process/SKILL.md
automation-monitor-automation-runs,automation,run,enterpriseos,assurance,18698af588344ec802897fae07e3719a537b5f17f73a2594382c29bde746ecb6,.bob/skills/automation-monitor-automation-runs/SKILL.md
automation-n8n-debugging-specialist,automation,run,enterpriseos,integration,ee80d36c1169485b50eff5c43d114cab55d5f43c8bbe1d189c830cfd90edc7de,.bob/skills/automation-n8n-debugging-specialist/SKILL.md
automation-n8n-workflow-architect,automation,run,enterpriseos,integration,8675a7dea253628a3920b41bebb0c78467aa399bd5c160ca33494e94abb0672e,.bob/skills/automation-n8n-workflow-architect/SKILL.md
automation-n8n-workflow-builder,automation,run,enterpriseos,integration,b23ba7bc709fd81c3e05b331aee76938fc7bb3dc30e3d07bdbbd2c4d3bbe2c0f,.bob/skills/automation-n8n-workflow-builder/SKILL.md
automation-opportunity-analyst,automation,run,enterpriseos,integration,cdd185d09efbf9e0253ed5ef51d489bc59b2a1ca3d8397bbeedb4620ac7e814c,.bob/skills/automation-opportunity-analyst/SKILL.md
automation-orchestrator,automation,run,enterpriseos,integration,d8bb69708117c6e4ba754695635700c8616ee267c0ecace3eb71c4702a4d2008,.bob/skills/automation-orchestrator/SKILL.md
automation-prioritize-automation-portfolio,automation,run,enterpriseos,assurance,ca5997605804f17643d57cefea5e09fbd5b6e7afef413a71cddcab99d36a2cc0,.bob/skills/automation-prioritize-automation-portfolio/SKILL.md
automation-process-automation-analyst,automation,run,enterpriseos,integration,14c43bb5a24d0fe2e5f9f750dc9c831685f3bbdf0e68525b99833f05f9073c38,.bob/skills/automation-process-automation-analyst/SKILL.md
automation-roi-analyst,automation,run,enterpriseos,integration,efec0651fd1a9cad60ba9acabde865f10606adda6d64ea11569d66efbceeb227,.bob/skills/automation-roi-analyst/SKILL.md
automation-secrets-credential-reviewer,automation,run,enterpriseos,integration,73211350af6c00ba45a6bc575aae864846620cf8aeb949948072a618f7f565b3,.bob/skills/automation-secrets-credential-reviewer/SKILL.md
automation-specify-automation-requirements,automation,run,enterpriseos,assurance,1bbf3e8551d2f934d7dd478988181d33637e4157ddc7fd9ccedf4244a79515d3,.bob/skills/automation-specify-automation-requirements/SKILL.md
automation-standardize-process,automation,run,enterpriseos,assurance,24ada8df4f42235ceb9312f3955b05ef46caf40062a8753e2176727a11f53320,.bob/skills/automation-standardize-process/SKILL.md
